filename,centroid_lat,centroid_lon,area_ha,distance_to_road_km,distance_to_kazakhstan_road_km,territory_scope
task_grid_45.85_61.58.kml,45.85,61.58,130.7,0.51,0.51,kazakhstan
task_grid_46.25_60.08.kml,46.25,60.08,120.5,2.07,2.07,kazakhstan
task_grid_46.55_59.88.kml,46.55,59.88,109.7,0.13,0.13,kazakhstan
task_grid_45.75_61.68.kml,45.75,61.68,108.4,1.8,1.8,kazakhstan
task_grid_45.85_61.38.kml,45.85,61.38,107.6,2.31,2.31,kazakhstan
task_grid_45.95_60.58.kml,45.95,60.58,106.3,22.17,22.17,kazakhstan
task_grid_46.45_60.88.kml,46.45,60.88,102.7,10.87,10.87,kazakhstan
task_grid_45.85_61.88.kml,45.85,61.88,91.2,6.23,6.23,kazakhstan
task_grid_45.15_59.38.kml,45.15,59.38,84.0,0.28,3.06,kazakhstan
task_grid_45.65_61.58.kml,45.65,61.58,79.7,5.22,5.22,kazakhstan
task_grid_46.05_59.08.kml,46.05,59.08,69.8,1.99,1.99,kazakhstan
task_grid_45.95_60.88.kml,45.95,60.88,66.2,11.29,11.29,kazakhstan
task_grid_45.75_59.08.kml,45.75,59.08,65.0,20.28,20.28,kazakhstan
task_grid_45.95_60.78.kml,45.95,60.78,64.3,15.22,15.22,kazakhstan
task_grid_45.55_59.68.kml,45.55,59.68,57.8,30.59,30.59,kazakhstan
task_grid_46.35_59.78.kml,46.35,59.78,55.0,0.72,0.72,kazakhstan
task_grid_46.55_60.88.kml,46.55,60.88,53.3,2.9,2.9,kazakhstan
task_grid_46.35_60.78.kml,46.35,60.78,49.8,6.52,6.52,kazakhstan
task_grid_46.15_60.98.kml,46.15,60.98,49.0,8.71,8.71,kazakhstan
task_grid_45.15_60.18.kml,45.15,60.18,45.7,62.1,62.36,kazakhstan
task_grid_44.65_60.48.kml,44.65,60.48,36.1,37.27,37.27,kazakhstan
task_grid_44.55_61.18.kml,44.55,61.18,35.3,6.05,6.05,kazakhstan
task_grid_45.75_59.18.kml,45.75,59.18,33.2,13.15,13.15,kazakhstan
task_grid_46.55_59.68.kml,46.55,59.68,31.0,4.77,4.77,kazakhstan
task_grid_46.35_59.38.kml,46.35,59.38,28.8,0.05,0.05,kazakhstan
task_grid_46.05_60.68.kml,46.05,60.68,26.7,9.12,9.12,kazakhstan
task_grid_45.55_61.48.kml,45.55,61.48,26.0,9.57,9.57,kazakhstan
task_grid_46.45_59.18.kml,46.45,59.18,25.0,0.68,0.68,kazakhstan
task_grid_45.05_60.08.kml,45.05,60.08,24.0,55.42,57.13,kazakhstan
task_grid_46.25_59.38.kml,46.25,59.38,19.1,5.7,5.7,kazakhstan
task_grid_46.15_59.18.kml,46.15,59.18,15.0,3.44,3.44,kazakhstan
task_grid_46.15_59.38.kml,46.15,59.38,11.0,3.16,3.16,kazakhstan
task_grid_45.95_59.88.kml,45.95,59.88,10.2,31.59,31.59,kazakhstan
task_grid_45.95_59.98.kml,45.95,59.98,10.1,34.29,34.29,kazakhstan
task_grid_46.35_59.68.kml,46.35,59.68,10.0,1.39,1.39,kazakhstan
task_grid_46.45_59.58.kml,46.45,59.58,10.0,0.37,0.37,kazakhstan
