pit_number,pit_code,source_table,depth_raw,depth_top_cm,depth_bottom_cm,CO3_mmol_100g,CO3_pct,HCO3_mmol_100g,HCO3_pct,Cl_mmol_100g,Cl_pct,SO4_mmol_100g,SO4_pct,Ca_mmol_100g,Ca_pct,Mg_mmol_100g,Mg_pct,Na_mmol_100g,Na_pct,K_mmol_100g,K_pct,salinity_pct,sum_anions,sum_cations,source_file,humus_pct,CO2,pH
15,15/20А,chemistry_salinity_ions,3-24 см,3.0,24.0,,,0.4,0.024,12.0,0.426,24.1,1.16,12.2,0.244,3.2,0.039,20.842,0.479,0.554,0.022,2.39,36.514,36.796,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
15,15/20А,chemistry_salinity_ions,24-55 см,24.0,55.0,,,0.35,0.021,12.16,0.432,15.8,0.76,6.8,0.136,4.0,0.049,17.081,0.393,0.297,0.012,1.8,28.309,28.177,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
15,15/20А,chemistry_salinity_ions,55-100 см,55.0,100.0,,,0.35,0.021,15.6,0.554,11.0,0.53,4.2,0.084,3.6,0.044,19.337,0.445,0.233,0.009,1.68,26.939,27.37,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
16,16/20А,chemistry_salinity_ions,0-10 см,0.0,10.0,,,0.65,0.04,0.36,0.013,0.3,0.02,0.4,0.008,0.4,0.005,0.273,0.006,0.168,0.007,0.09,1.343,1.241,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
16,16/20А,chemistry_salinity_ions,10-32 см,10.0,32.0,,,0.7,0.043,0.88,0.031,0.4,0.02,0.2,0.004,0.2,0.002,1.354,0.031,0.115,0.004,0.13,1.934,1.868,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
16,16/20А,chemistry_salinity_ions,32-100 см,32.0,100.0,,,1.5,0.092,0.56,0.02,1.0,0.05,0.2,0.004,0.4,0.005,2.267,0.052,0.082,0.003,0.22,3.071,2.949,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
17,17/20А,chemistry_salinity_ions,0-2 см,0.0,2.0,0.2,0.006,0.4,0.024,41.6,1.477,22.8,1.1,22.6,0.452,15.6,0.19,6.508,0.15,4.792,0.187,3.58,65.001,49.5,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
17,17/20А,chemistry_salinity_ions,2-13 см,2.0,13.0,,,0.35,0.021,13.2,0.469,15.1,0.7,6.6,0.132,2.0,0.024,19.715,0.453,0.683,0.027,1.85,28.692,28.998,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
17,17/20А,chemistry_salinity_ions,13-36 см,13.0,36.0,,,0.4,0.024,16.4,0.582,8.5,0.41,1.8,0.036,2.8,0.034,20.526,0.472,0.436,0.017,1.58,25.338,25.563,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
17,17/20А,chemistry_salinity_ions,36-78 см,36.0,78.0,,,0.5,0.031,14.4,0.511,10.7,0.51,2.6,0.052,2.8,0.034,19.715,0.453,0.286,0.011,1.61,25.626,25.401,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
17,17/20А,chemistry_salinity_ions,78-150 см,78.0,150.0,,,0.45,0.027,7.2,0.256,5.4,0.26,1.2,0.024,1.2,0.015,10.792,0.248,0.147,0.006,0.83,13.015,13.339,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
18,18/20А,chemistry_salinity_ions,0-3 см,0.0,3.0,,,0.4,0.024,0.72,0.026,16.5,0.79,15.4,0.308,1.4,0.017,0.92,0.021,0.147,0.006,1.19,17.575,17.866,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
18,18/20А,chemistry_salinity_ions,3-20 см,3.0,20.0,,,0.45,0.027,0.32,0.011,2.1,0.1,1.2,0.024,1.8,0.022,0.274,0.006,,,0.19,2.853,3.26,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
18,18/20А,chemistry_salinity_ions,20-46 см,20.0,46.0,,,0.45,0.027,1.04,0.037,2.5,0.12,1.0,0.02,2.0,0.024,1.117,0.026,0.061,0.002,0.25,3.945,4.178,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
18,18/20А,chemistry_salinity_ions,46-80 см,46.0,80.0,,,0.45,0.027,1.36,0.048,3.9,0.19,1.4,0.028,2.0,0.024,1.475,0.034,0.147,0.006,0.35,5.709,5.022,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
18,18/20А,chemistry_salinity_ions,80-96 см,80.0,96.0,,,0.35,0.021,2.08,0.074,4.0,0.19,2.4,0.048,1.4,0.017,2.68,0.062,0.157,0.006,0.42,6.417,6.637,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
18,18/20А,chemistry_salinity_ions,96-130 см,96.0,130.0,,,0.4,0.024,8.8,0.312,16.7,0.8,9.0,0.18,5.4,0.066,11.603,0.267,0.544,0.021,1.67,25.874,26.547,"Результаты EC,TDS, pH, в.в., гумус(в.в.csv",,,
